Search Times,T/¦Ìs
6,0.6
3,0.4
6,0.7
5,0.5
3,0.4
5,0.5
9,0.9
9,0.8
6,0.6
10,0.9
10,0.8
6,0.7
9,0.8
9,0.7
2,0.2
1,0.2
3,0.4
3,0.3
3,0.3
5,0.5
5,0.6
8,0.8
7,0.8
10,0.8
6,0.7
5,0.6
5,0.6
3,0.3
9,0.7
10,0.9
9,0.8
6,0.6
9,0.8
2,0.3
3,0.4
10,0.8
6,0.7
6,0.6
9,0.7
10,0.8
1,0.2
2,0.3
6,0.7
9,0.8
1,0.2
6,0.7
9,0.7
3,0.3
6,0.7
6,0.6
2,0.2
2,0.2
9,0.7
8,0.8
2,0.3
2,0.2
8,0.7
9,0.8
7,0.7
8,0.7
2,0.2
7,0.7
6,0.6
6,0.7
3,0.4
1,0.2
7,0.8
6,0.6
3,0.4
1,0.2
2,0.3
8,0.8
2,0.3
8,0.8
7,0.8
6,0.6
3,0.3
3,0.3
7,0.8
9,0.9
9,0.8
3,0.3
1,0.2
6,0.6
6,0.7
5,0.6
6,0.6
6,0.6
2,0.3
10,0.9
7,0.7
6,0.6
10,0.9
6,0.6
5,0.7
6,0.6
10,0.8
5,0.6
2,0.3
6,0.6
Search Times,T/¦Ìs
