Search Times,T/¦Ìs
808,6.8
250,2.1
74,0.7
659,5.5
931,7.4
273,2.3
545,4.4
879,7.2
924,7.4
710,5.9
441,3.5
166,1.5
493,4.1
43,0.4
988,8.1
504,4.1
328,2.7
730,6
841,6.9
613,5.1
304,2.4
170,1.4
710,5.7
158,1.4
561,4.6
934,7.5
100,0.9
279,2.4
817,6.7
336,2.7
98,0.9
827,6.7
513,4.2
268,2.2
811,6.6
634,5.1
980,8
150,1.4
580,4.9
822,6.7
968,7.9
673,5.4
394,3.2
337,2.8
486,4
746,6.1
229,2
92,0.9
195,1.6
358,2.9
2,0.2
154,1.4
709,5.7
945,7.6
669,5.5
491,4
125,1.1
197,1.7
531,4.3
904,7.3
723,5.8
667,5.4
550,4.5
25,0.3
802,6.8
854,7.1
978,7.9
409,3.4
229,2
934,16.6
299,2.6
982,7.9
636,5.1
14,0.2
866,6.9
815,6.5
64,0.6
537,4.4
426,3.5
670,5.5
116,1.1
95,0.9
630,5.1
502,4.2
518,4.2
196,1.7
106,1
405,3.4
452,3.7
299,2.5
189,1.6
124,1.1
506,4.1
883,6.9
753,6
567,4.6
717,5.8
338,3
439,3.7
145,1.3
988,16.6
2,0.2
499.0882353,4.27254902
