Search Times,T/¦Ìs
100000,199.4
100000,199.2
100000,199.7
100000,201.5
100000,199.2
100000,199.2
100000,199.3
100000,199.4
100000,199.2
100000,201.1
100000,199.2
100000,199
100000,199.4
100000,199.3
100000,200.8
100000,199.1
100000,199.3
100000,199.2
100000,199.8
100000,233.4
100000,199.5
100000,199.2
100000,199.3
100000,201.2
100000,199.2
100000,199.6
100000,199.1
100000,199.1
100000,201.1
100000,199.2
100000,199.4
100000,199.3
100000,199.7
100000,238.8
100000,199.3
100000,199
100000,199.1
100000,199.6
100000,200.9
100000,199.9
100000,199
100000,199.3
100000,215.8
100000,199.4
100000,199.1
100000,199.4
100000,199.4
100000,201.4
100000,199.6
100000,199.3
100000,199.4
100000,199.3
100000,203.4
100000,199.5
100000,198.9
100000,199.4
100000,199.3
100000,202.3
100000,199.4
100000,199.2
100000,199.5
100000,199.2
100000,201.1
100000,199.4
100000,199.3
100000,199.3
100000,199.3
100000,200.8
100000,198.8
100000,199.5
100000,199.4
100000,242.4
100000,199.5
100000,199.5
100000,199.3
100000,199.3
100000,201
100000,199.5
100000,199.4
100000,213.3
100000,200.1
100000,199.8
100000,321.6
100000,199.4
100000,201.7
100000,199.3
100000,199.7
100000,199.7
100000,199.2
100000,201
100000,199.3
100000,199.2
100000,199.6
100000,201.5
100000,199.4
100000,199.7
100000,199.5
100000,199.7
100000,201.2
100000,199.4
